CNPJ_FORN,CNPJ_AD,CNPJ_PDV,DT_VENDA,NR_DOCTO,TP_DOCTO,CD_PROD,QT_VDA,VL_VDA,CD_VENDEDOR,NR_LOTE,ANO_MES_VAL,DIA_VAL,TP_UNIDADE,IC_PED_SUGERIDO,VL_VDA_DOLAR,CD_CANAL,MOD_ENTREGA,CEP,CHAVE_NFE,NM_FILIAL,MOD_DOCTO,SERIE_DOCTO,ORIGEM_PEDIDO
"33856394001962","15427207000971","4942913","20210806","01580123","E","8006550301040","00000001","00055.92","","20189C","205012","31","","","00000.00","DCB","2","05590-140","","","","",""
"33856394001962","15427207000971","4943298","20210806","01580097","E","8006550301040","00000001","00069.90","","20189C","205012","31","","","00000.00","DCB","2","09608-040","","","","",""
"33856394001962","15427207000971","4677426","20210806","01579952","E","8006550301040","00000001","00067.06","","20189C","205012","31","","","00000.00","DCO","2","13214-206","","","","",""
"33856394001962","15427207000971","5174391","20210806","01579959","E","3057230000253","00000001","00085.41","","0293A2","202210","30","","","00000.00","MGZNL","2","04116-190","","","","",""
"33856394001962","15427207000971","5174229","20210806","01579958","E","3057230000253","00000001","00099.90","","0293A2","202210","30","","","00000.00","LXRYL","2","07114-170","","","","",""
"33856394001962","15427207000971","5097759","20210806","01579827","E","3057230000253","00000001","00072.60","","0293A2","202210","30","","","00000.00","MGZNL","2","01541-070","","","","",""
"33856394001962","15427207000971","5173673","20210806","01579948","E","3057230000253","00000001","00060.02","","0293A2","202210","30","","","00000.00","EXX","2","14028-506","","","","",""
"33856394001962","15427207000971","5103246","20210806","01579947","E","3057230000253","00000001","00060.02","","0293A2","202210","30","","","00000.00","PFF","2","22461-220","","","","",""
"33856394001962","15427207000971","5097759","20210806","01580158","E","3057230000253","00000002","00059.95","","0293A2","202210","30","","","00000.00","PERNO","2","01541-070","","","","",""
"33856394001962","15427207000971","586881","20210806","01580085","E","3057230000253","00000001","00099.90","","0293A2","202210","30","","","00000.00","LXRYL","2","04718-002","","","","",""
"33856394001962","15427207000971","4677426","20210806","01579952","E","7891050004734","00000001","00036.90","","21015R3668311","205012","30","","","00000.00","DCO","2","13214-206","","","","",""
"33856394001962","15427207000971","2753805","20210806","01580037","E","7891050004734","00000001","00042.66","","21015R3668311","205012","30","","","00000.00","MGZNL","2","13483-225","","","","",""
"33856394001962","15427207000971","5176017","20210806","01580030","E","7891050004734","00000003","00052.90","","21015R3668311","205012","30","","","00000.00","LXRYL","2","88511-501","","","","",""
"33856394001962","15427207000971","5173057","20210806","01579839","E","8006550301040","00000001","00055.16","","20189C","205012","31","","","00000.00","MGZNL","2","14070-150","","","","",""
"33856394001962","15427207000971","1012595","20210806","01580040","E","3057230000253","00000003","00099.90","","0293A2","202210","30","","","00000.00","LXRYL","2","01156-000","","","","",""
"33856394001962","15427207000971","5174644","20210806","01579903","E","3052910056261","00000001","00035.90","","132090","202301","04","","","00000.00","LJSAM","2","38082-222","","","","",""
"33856394001962","15427207000971","5174819","20210806","01579843","E","7891050004734","00000001","00042.66","","21015R3668311","205012","30","","","00000.00","MGZNL","2","13218-310","","","","",""
"33856394001962","15427207000971","5171019","20210806","01580022","E","8006550340230","00000005","00059.90","","20077","205012","31","","","00000.00","DCB","2","74180-110","","","","",""
"33856394001962","15427207000971","4087033","20210806","01580074","E","8006550340230","00000002","00046.67","","20077","205012","31","","","00000.00","MGZNL","2","03041-090","","","","",""
"33856394001962","15427207000971","5174883","20210806","01579866","E","8006550340230","00000001","00056.14","","20077","205012","31","","","00000.00","MGZNL","2","91120-600","","","","",""
"33856394001962","15427207000971","5174391","20210806","01579959","E","8006550340230","00000001","00052.16","","20077","205012","31","","","00000.00","MGZNL","2","04116-190","","","","",""
"33856394001962","15427207000971","5174096","20210806","01579835","E","8006550340230","00000001","00059.90","","20077","205012","31","","","00000.00","DCB","2","88220-000","","","","",""
"33856394001962","15427207000971","5173377","20210806","01579919","E","7898994746218","00000004","00008.90","","49/20","202112","04","","","00000.00","PERNO","2","90670-140","","","","",""
"33856394001962","15427207000971","5173673","20210806","01579948","E","7898994746218","00000001","00005.93","","49/20","202112","04","","","00000.00","EXX","2","14028-506","","","","",""
"33856394001962","15427207000971","5173673","20210806","01579948","E","7898994746218","00000001","00005.94","","49/20","202112","04","","","00000.00","EXX","2","14028-506","","","","",""
"33856394001962","15427207000971","5103246","20210806","01579947","E","7898994746218","00000001","00005.93","","49/20","202112","04","","","00000.00","PFF","2","22461-220","","","","",""
"33856394001962","15427207000971","5103246","20210806","01579947","E","7898994746218","00000001","00005.94","","49/20","202112","04","","","00000.00","PFF","2","22461-220","","","","",""
"33856394001962","15427207000971","4547238","20210806","01579823","E","7898994746218","00000006","00008.90","","49/20","202112","04","","","00000.00","PERNO","2","89504-590","","","","",""
"33856394001962","15427207000971","5174618","20210806","01579910","E","5000299618073","00000001","00104.90","","LKHR0627","202301","30","","","00000.00","LXRYL","2","28053-600","","","","",""
"33856394001962","15427207000971","5174805","20210806","01579950","E","5000299618073","00000004","00097.67","","LKHR0627","202301","30","","","00000.00","MGZNL","2","21360-000","","","","",""
"33856394001962","15427207000971","3789250","20210806","01579879","E","5000299618073","00000001","00104.90","","LKHR0627","202301","30","","","00000.00","LXRYL","2","93336-010","","","","",""
"33856394001962","15427207000971","1797401","20210806","01579831","E","5000299618073","00000001","00097.67","","LKHR0627","202301","30","","","00000.00","MGZNL","2","88160-190","","","","",""
"33856394001962","15427207000971","5174471","20210806","01579826","E","5000299618073","00000001","00097.67","","LKHR0627","202301","30","","","00000.00","MGZNL","2","88135-401","","","","",""
"33856394001962","15427207000971","5176587","20210806","01580033","E","5000299618073","00000006","00104.90","","LKHR0627","202301","30","","","00000.00","DCB","2","04362-030","","","","",""
"33856394001962","15427207000971","5176126","20210806","01580101","E","5000299618073","00000001","00104.90","","LKHR0627","202301","30","","","00000.00","LXRYL","2","13272-101","","","","",""
"33856394001962","15427207000971","5174471","20210806","01579911","E","5000299618073","00000002","00097.67","","LKHR0627","202301","30","","","00000.00","MGZNL","2","88135-401","","","","",""
"33856394001962","15427207000971","5033506","20210806","01580015","E","5000299618073","00000001","00097.67","","LKHR0627","202301","30","","","00000.00","MGZNL","2","29900-206","","","","",""
"33856394001962","15427207000971","2173376","20210806","01579907","E","5000299618073","00000001","00109.90","","LKHR0627","202301","30","","","00000.00","PERNO","2","87060-399","","","","",""
"33856394001962","15427207000971","5173737","20210806","01579908","E","5000299618073","00000001","00109.90","","LKHR0627","202301","30","","","00000.00","PERNO","2","04362-030","","","","",""
"33856394001962","15427207000971","1733924","20210806","01579966","E","5000299618073","00000001","00104.90","","LKHR0627","202301","30","","","00000.00","LXRYL","2","88136-500","","","","",""
"33856394001962","15427207000971","5174979","20210806","01579901","E","5000299618073","00000001","00104.90","","LKHR0627","202301","30","","","00000.00","LXRYL","2","13181-211","","","","",""
"33856394001962","15427207000971","5177123","20210806","01580146","E","8006550340230","00000001","00075.90","","20077","205012","31","","","00000.00","LXRYL","2","04018-033","","","","",""
"33856394001962","15427207000971","4677426","20210806","01579952","E","7898994746218","00000002","00006.58","","49/20","202112","04","","","00000.00","DCO","2","13214-206","","","","",""
"33856394001962","15427207000971","2679966","20210806","01580086","E","7898951400191","00000001","00035.90","","10321","202204","30","","","00000.00","PERNO","2","71630-045","","","","",""
"33856394001962","15427207000971","5174560","20210806","01579909","E","5000299618073","00000001","00104.90","","LKHR0627","202301","30","","","00000.00","CBB","2","08121-100","","","","",""
"33856394001962","15427207000971","5153379","20210806","01579930","E","7899619913855","00000001","00034.90","","","","","","","00000.00","DCB","2","80730-390","","","","",""
"33856394001962","15427207000971","5153379","20210806","01579931","E","7899619913855","00000001","00034.90","","","","","","","00000.00","DCB","2","80730-390","","","","",""
"33856394001962","15427207000971","5173811","20210806","01579922","E","0735810195935","00000001","00032.90","","","","","","","00000.00","LXRYL","2","22776-070","","","","",""
"33856394001962","15427207000971","2723162","20210806","01579844","E","080432106846","00000001","00167.90","","","","","","","00000.00","LXRYL","2","30310-060","","","","",""
"33856394001962","15427207000971","5174589","20210806","01579853","E","07898569363635","00000001","00014.90","","","","","","","00000.00","LXRYL","2","13870-262","","","","",""
"33856394001962","15427207000971","1754854","20210806","01579938","E","7891155007128","00000003","00027.92","","","","","","","00000.00","DCB","2","30190-050","","","","",""
"33856394001962","15427207000971","1754854","20210806","01579937","E","7891155007128","00000003","00027.92","","","","","","","00000.00","DCB","2","30190-050","","","","",""
"33856394001962","15427207000971","4677426","20210806","01579952","E","080432100783","00000002","00277.86","","","","","","","00000.00","DCO","2","13214-206","","","","",""
"33856394001962","15427207000971","3123286","20210806","01579957","E","080432100783","00000001","00277.86","","","","","","","00000.00","DCO","2","82560-000","","","","",""
"33856394001962","15427207000971","5175267","20210806","01580098","E","080432100783","00000001","00479.90","","","","","","","00000.00","LXRYL","2","03112-090","","","","",""
"33856394001962","15427207000971","4760434","20210806","01580108","E","5000299611197","00000001","00129.90","","","","","","","00000.00","DCB","2","08180-080","","","","",""
"33856394001962","15427207000971","2145318","20210806","01580141","E","5000299611197","00000001","00129.90","","","","","","","00000.00","DCB","2","05442-040","","","","",""
"33856394001962","15427207000971","2438245","20210806","01579886","E","5000299611197","00000001","00129.90","","","","","","","00000.00","LXRYL","2","13274-610","","","","",""
"33856394001962","15427207000971","5173573","20210806","01579887","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","22631-450","","","","",""
"33856394001962","15427207000971","5016309","20210806","01579953","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","13082-760","","","","",""
"33856394001962","15427207000971","5167077","20210806","01580157","E","5000299611197","00000017","00129.90","","","","","","","00000.00","MANUAL","2","01424-007","","","","",""
"33856394001962","15427207000971","5175099","20210806","01579935","E","5000299611197","00000001","00129.90","","","","","","","00000.00","DCB","2","15050-470","","","","",""
"33856394001962","15427207000971","5174918","20210806","01579955","E","5000299611197","00000001","00129.90","","","","","","","00000.00","LXRYL","2","12294-555","","","","",""
"33856394001962","15427207000971","5104695","20210806","01579868","E","5000299611197","00000001","00103.92","","","","","","","00000.00","DCB","2","84030-320","","","","",""
"33856394001962","15427207000971","5174537","20210806","01579899","E","5000299611197","00000001","00118.92","","","","","","","00000.00","MGZNL","2","88495-000","","","","",""
"33856394001962","15427207000971","5149242","20210806","01579896","E","5000299611197","00000001","00103.92","","","","","","","00000.00","DCB","2","13087-571","","","","",""
"33856394001962","15427207000971","992442","20210806","01579897","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","05728-040","","","","",""
"33856394001962","15427207000971","415008","20210806","01579854","E","5000299611197","00000001","00129.90","","","","","","","00000.00","DCB","2","97095-800","","","","",""
"33856394001962","15427207000971","5174265","20210806","01579898","E","5000299611197","00000001","00129.90","","","","","","","00000.00","DCB","2","82015-360","","","","",""
"33856394001962","15427207000971","1695317","20210806","01579815","E","5000299611197","00000001","00132.90","","","","","","","00000.00","DCO","2","01546-100","","","","",""
"33856394001962","15427207000971","5176203","20210806","01580055","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","13275-080","","","","",""
"33856394001962","15427207000971","5176201","20210806","01580068","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","15056-750","","","","",""
"33856394001962","15427207000971","5176193","20210806","01580075","E","5000299611197","00000001","00129.90","","","","","","","00000.00","LXRYL","2","24421-320","","","","",""
"33856394001962","15427207000971","5176126","20210806","01580101","E","5000299611197","00000001","00129.90","","","","","","","00000.00","LXRYL","2","13272-101","","","","",""
"33856394001962","15427207000971","92775","20210806","01580056","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","04206-001","","","","",""
"33856394001962","15427207000971","5176060","20210806","01580035","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","04551-010","","","","",""
"33856394001962","15427207000971","5175934","20210806","01580049","E","5000299611197","00000001","00129.90","","","","","","","00000.00","LXRYL","2","23059-150","","","","",""
"33856394001962","15427207000971","5175650","20210806","01580051","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","04050-011","","","","",""
"33856394001962","15427207000971","4888299","20210806","01580047","E","5000299611197","00000002","00129.90","","","","","","","00000.00","DCB","2","66033-420","","","","",""
"33856394001962","15427207000971","5175633","20210806","01580050","E","5000299611197","00000001","00129.90","","","","","","","00000.00","GPA","2","14804-483","","","","",""
"33856394001962","15427207000971","5175229","20210806","01580048","E","5000299611197","00000002","00129.90","","","","","","","00000.00","GPA","2","64053-300","","","","",""
"33856394001962","15427207000971","4942913","20210806","01580123","E","5000299611197","00000001","00103.92","","","","","","","00000.00","DCB","2","05590-140","","","","",""
"33856394001962","15427207000971","1087985","20210806","01580008","E","5000299611197","00000001","00129.90","","","","","","","00000.00","DCB","2","38770-000","","","","",""
"33856394001962","15427207000971","4866095","20210806","01580007","E","5000299611197","00000001","00129.90","","","","","","","00000.00","LXRYL","2","04310-040","","","","",""
"33856394001962","15427207000971","5174569","20210806","01579923","E","5000299611197","00000003","00129.90","","","","","","","00000.00","GPA","2","04747-030","","","","",""
"33856394001962","15427207000971","586005","20210806","01580111","E","5000299611197","00000001","00118.92","","","","","","","00000.00","MGZNL","2","01136-000","","","","",""
"33856394001962","15427207000971","5177082","20210806","01580142","E","5000299611197","00000001","00129.90","","","","","","","00000.00","DCB","2","73092-912","","","","",""
"33856394001962","15427207000971","5174941","20210806","01579840","E","7312040040759","00000001","00084.90","","","","","","","00000.00","LXRYL","2","38414-208","","","","",""
"33856394001962","15427207000971","5173587","20210806","01579946","E","7312040040759","00000001","00084.90","","","","","","","00000.00","LXRYL","2","80440-180","","","","",""
"33856394001962","15427207000971","5176312","20210806","01580042","E","7312040040759","00000001","00084.90","","","","","","","00000.00","LXRYL","2","11701-760","","","","",""
"33856394001962","15427207000971","5175856","20210806","01580046","E","7312040040759","00000001","00075.90","","","","","","","00000.00","PERNO","2","07436-045","","","","",""
"33856394001962","15427207000971","5175017","20210806","01579902","E","5000329002537","00000002","00089.90","","","","","","","00000.00","GPA","2","01257-030","","","","",""
"33856394001962","15427207000971","5173844","20210806","01579900","E","5000329002537","00000001","00089.90","","","","","","","00000.00","GPA","2","01257-100","","","","",""
"33856394001962","15427207000971","539560","20210806","01579945","E","5000329002537","00000001","00028.02","","","","","","","00000.00","CBB","2","09350-276","","","","",""
"33856394001962","15427207000971","1263757","20210806","01579942","E","5000329002537","00000006","00028.02","","","","","","","00000.00","CBB","2","28930-000","","","","",""
"33856394001962","15427207000971","5167077","20210806","01580157","E","5000329002537","00000021","00089.90","","","","","","","00000.00","MANUAL","2","01424-007","","","","",""
"33856394001962","15427207000971","5149462","20210806","01579934","E","5000329002537","00000003","00071.92","","","","","","","00000.00","DCB","2","88115-100","","","","",""
"33856394001962","15427207000971","184140","20210806","01580093","E","5000329002537","00000001","00089.90","","","","","","","00000.00","GPA","2","01253-030","","","","",""
"33856394001962","15427207000971","432753","20210806","01579880","E","5000329002537","00000001","00115.14","","","","","","","00000.00","PRC","2","08275-580","","","","",""
"33856394001962","15427207000971","5173946","20210806","01579829","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","30320-030","","","","",""
"33856394001962","15427207000971","5171824","20210806","01579830","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","31710-400","","","","",""
"33856394001962","15427207000971","479885","20210806","01579828","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","30320-030","","","","",""
"33856394001962","15427207000971","5173587","20210806","01579946","E","5000329002537","00000001","00149.90","","","","","","","00000.00","LXRYL","2","80440-180","","","","",""
"33856394001962","15427207000971","3007955","20210806","01579943","E","5000329002537","00000001","00029.67","","","","","","","00000.00","CBB","2","11740-000","","","","",""
"33856394001962","15427207000971","4328047","20210806","01579941","E","5000329002537","00000003","00032.96","","","","","","","00000.00","EXX","2","09041-000","","","","",""
"33856394001962","15427207000971","4876709","20210806","01579944","E","5000329002537","00000001","00029.67","","","","","","","00000.00","CBB","2","11410-003","","","","",""
"33856394001962","15427207000971","5176540","20210806","01580064","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","31140-230","","","","",""
"33856394001962","15427207000971","3941432","20210806","01579904","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","02206-001","","","","",""
"33856394001962","15427207000971","5173575","20210806","01579906","E","5000329002537","00000003","00089.90","","","","","","","00000.00","GPA","2","09531-175","","","","",""
"33856394001962","15427207000971","5150574","20210806","01579968","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","84470-000","","","","",""
"33856394001962","15427207000971","5166260","20210806","01580011","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","02440-050","","","","",""
"33856394001962","15427207000971","3757945","20210806","01580112","E","5000329002537","00000001","00089.90","","","","","","","00000.00","GPA","2","22010-010","","","","",""
"33856394001962","15427207000971","4436465","20210806","01580125","E","5000329002537","00000001","00089.90","","","","","","","00000.00","GPA","2","22081-042","","","","",""
"33856394001962","15427207000971","5176533","20210806","01580114","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","02451-000","","","","",""
"33856394001962","15427207000971","104336","20210806","01580126","E","5000329002537","00000002","00089.90","","","","","","","00000.00","GPA","2","06465-136","","","","",""
"33856394001962","15427207000971","5175087","20210806","01580012","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","01506-000","","","","",""
"33856394001962","15427207000971","2458944","20210806","01580013","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","05338-130","","","","",""
"33856394001962","15427207000971","1279007","20210806","01580014","E","5000329002537","00000001","00054.90","","","","","","","00000.00","PRD","2","90050-200","","","","",""
"33856394001962","15427207000971","5175438","20210806","01579856","E","5000299225028","00000001","00455.90","","","","","","","00000.00","LXRYL","2","05110-000","","","","",""
"33856394001962","15427207000971","5175841","20210806","01580115","E","5000299225028","00000001","00455.90","","","","","","","00000.00","LXRYL","2","05033-080","","","","",""
"33856394001962","15427207000971","5175267","20210806","01580060","E","5000299225028","00000001","00455.90","","","","","","","00000.00","LXRYL","2","03112-090","","","","",""
"33856394001962","15427207000971","2747927","20210806","01580082","E","7312040090754","00000001","00084.90","","","","","","","00000.00","PRC","2","13273-583","","","","",""
"33856394001962","15427207000971","5173587","20210806","01579946","E","7312040551798","00000001","00109.90","","","","","","","00000.00","LXRYL","2","80440-180","","","","",""
"33856394001962","15427207000971","5165743","20210806","01580024","E","5011007003029","00000001","00064.90","","","","","","","00000.00","LJSAM","2","91130-210","","","","",""
"33856394001962","15427207000971","2157883","20210806","01580089","E","42213277","00000001","00329.90","","","","","","","00000.00","LXRYL","2","04605-001","","","","",""
"33856394001962","15427207000971","3123286","20210806","01579957","E","7891050000101","00000001","00044.96","","","","","","","00000.00","DCO","2","82560-000","","","","",""
"33856394001962","15427207000971","3493272","20210806","01580144","E","7891050000101","00000001","00056.90","","","","","","","00000.00","PRC","2","91750-170","","","","",""
"33856394001962","15427207000971","4935744","20210806","01580087","E","7891050000101","00000001","00056.90","","","","","","","00000.00","PRC","2","13040-089","","","","",""
"33856394001962","15427207000971","5175597","20210806","01580119","E","7790093095238","00000001","00064.90","","","","","","","00000.00","LXRYL","2","66040-255","","","","",""
"33856394001962","15427207000971","5174472","20210806","01579905","E","7790093095238","00000001","00064.90","","","","","","","00000.00","MGZNL","2","13015-310","","","","",""
"33856394001962","15427207000971","4547238","20210806","01579837","E","5900685009723","00000001","00119.90","","","","","","","00000.00","PERNO","2","89504-590","","","","",""
