CNPJ_FORN,CNPJ_AD,CNPJ_PDV,DT_VENDA,NR_DOCTO,TP_DOCTO,CD_PROD,QT_VDA,VL_VDA,CD_VENDEDOR,NR_LOTE,ANO_MES_VAL,DIA_VAL,TP_UNIDADE,IC_PED_SUGERIDO,VL_VDA_DOLAR,CD_CANAL,MOD_ENTREGA,CEP,CHAVE_NFE,NM_FILIAL,MOD_DOCTO,SERIE_DOCTO,ORIGEM_PEDIDO
"22137853000102","10829506000161","248277","20210807","2185283","Venda","386560","4","58,200000","87567","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","248277","20210807","2185283","Venda","389729","4","58,200000","87567","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","924817","20210807","2185295","Venda","376115","6","19,380000","911823","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","924817","20210807","2185295","Venda","419280","3","19,350000","911823","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","924817","20210807","2185295","Venda","419485","3","19,350000","911823","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","924817","20210807","2185295","Venda","419497","3","19,350000","911823","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","821688","20210807","2185330","Venda","116970","4","18,880000","77409","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","795057","20210807","2185333","Venda","380211","12","82,560000","77409","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","795057","20210807","2185333","Venda","419515","12","82,560000","77409","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","795057","20210807","2185333","Venda","441363","12","82,560000","77409","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","408189","20210807","2185338","Venda","387332","3","39,420000","3701","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","248277","20210807","2185343","Venda","79972","6","29,520000","87567","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","248277","20210807","2185343","Venda","79984","6","29,520000","87567","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","116970","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","116981","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","221946","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","406261","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","406776","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","406790","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","410147","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","411656","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","429855","20210807","2185348","Venda","79984","6","28,500000","98141","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373631","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373643","36","163,800000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373795","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373851","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373886","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373898","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373916","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373941","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373965","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","373991","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374003","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374015","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374039","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374143","18","51,840000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374167","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374179","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374209","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374211","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374246","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374271","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374362","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374374","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374441","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374465","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374491","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374532","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374556","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374568","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374581","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374623","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374647","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374672","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374684","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374702","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","374714","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","376103","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","379311","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","391864","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","391876","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","391890","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","410161","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","410172","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","410184","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","410196","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","410202","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","419199","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","419205","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","419217","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","419229","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","419231","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","419242","24","69,120000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","443189","24","99,840000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
"22137853000102","10829506000161","194888","20210807","2185349","Venda","443219","24","99,840000","28186","","","","","","","","","","","Interg","55","7","Venda Externa"
