CNPJ_FORN,CNPJ_AD,CNPJ_PDV,DT_VENDA,NR_DOCTO,TP_DOCTO,CD_PROD,QT_VDA,VL_VDA,CD_VENDEDOR,NR_LOTE,ANO_MES_VAL,DIA_VAL,TP_UNIDADE,IC_PED_SUGERIDO,VL_VDA_DOLAR,CD_CANAL,MOD_ENTREGA,CEP,CHAVE_NFE,NM_FILIAL,MOD_DOCTO,SERIE_DOCTO,ORIGEM_PEDIDO
"04402277000100","02284641000302","03115523000171","20210817","620810","N","70330717565","00000001","00038.62","171","","","","","","","","","96600-000","","","","",""
"04402277000100","02284641000302","20710381000100","20210813","620651","N","70330729872","00000001","00050.29","107","","","","","","","","","96445-000","","","","",""
"04402277000100","02284641000302","23285740000117","20210813","620287","N","70330729872","00000001","00050.29","114","","","","","","","","","96225-000","","","","",""
"04402277000100","02284641000302","35126966000154","20210813","620347","N","70330729872","00000001","00050.29","180","","","","","","","","","96330-000","","","","",""
"04402277000100","02284641000302","23287608000144","20210813","620219","N","70330628465","00000001","00011.58","153","","","","","","","","","96205-220","","","","",""
"04402277000100","02284641000302","93489243000701","20210813","620220","N","70330631335","00000004","00037.35","153","","","","","","","","","96200-310","","","","",""
"04402277000100","02284641000302","12475389000100","20210813","620657","N","6126","00000002","00035.88","107","","","","","","","","","96400-600","","","","",""
"04402277000100","02284641000302","12475389000100","20210813","620657","N","70330717565","00000001","00038.62","107","","","","","","","","","96400-600","","","","",""
"04402277000100","02284641000302","12475389000100","20210813","620657","N","70330727984","00000001","00038.62","107","","","","","","","","","96400-600","","","","",""
"04402277000100","02284641000302","25256901000170","20210816","620755","N","70330506084","00000002","00021.51","103","","","","","","","","","96040-130","","","","",""
"04402277000100","02284641000302","19321493000190","20210816","620756","N","70330712379","00000001","00038.16","185","","","","","","","","","96160-000","","","","",""
"04402277000100","02284641000302","14022657000164","20210816","620758","N","70330631335","00000002","00037.35","185","","","","","","","","","96160-000","","","","",""
"04402277000100","02284641000302","28256713000130","20210816","620767","N","70330638341","00000003","00007.23","188","","","","","","","","","96010-630","","","","",""
"04402277000100","02284641000302","08814290000119","20210816","620773","N","70330717565","00000001","00038.62","185","","","","","","","","","96160-000","","","","",""
"04402277000100","02284641000302","38195348000154","20210816","620750","N","70330709485","00000001","00038.16","105","","","","","","","","","96060-290","","","","",""
"04402277000100","02284641000302","09449272000148","20210817","620844","N","70330717565","00000001","00038.62","171","","","","","","","","","96600-000","","","","",""
"04402277000100","02284641000302","36495543000174","20210817","620897","N","70330729858","00000001","00047.76","105","","","","","","","","","96081-622","","","","",""
"04402277000100","02284641000302","34777124000108","20210817","620898","N","70330717565","00000001","00038.62","105","","","","","","","","","96087-190","","","","",""
"04402277000100","02284641000302","29240577000152","20210817","620900","N","70330709485","00000001","00041.35","109","","","","","","","","","96090-360","","","","",""
"04402277000100","02284641000302","91029009000180","20210817","620906","N","70330717565","00000001","00038.62","105","","","","","","","","","96010-000","","","","",""
"04402277000100","02284641000302","37059734000156","20210802","616729","N","70330717534","-0000001","00033.48","181","","","","","","","","","96470-000","","","","",""
"04402277000100","02284641000302","37059734000156","20210802","616729","N","70330717565","-0000001","00033.48","181","","","","","","","","","96470-000","","","","",""
"04402277000100","02284641000302","37059734000156","20210802","616729","N","70330729872","-0000001","00050.29","181","","","","","","","","","96470-000","","","","",""
"04402277000100","02284641000302","04954714000190","20210806","618029","N","70330129627","-0000001","00035.10","181","","","","","","","","","96495-000","","","","",""
"04402277000100","02284641000302","04954714000190","20210806","618029","N","70330729872","-0000001","00050.29","181","","","","","","","","","96495-000","","","","",""
"04402277000100","02284641000302","27390646000189","20210806","618033","N","70330129627","-0000001","00035.10","181","","","","","","","","","96495-000","","","","",""
"04402277000100","02284641000302","27390646000189","20210806","618033","N","70330729858","-0000001","00050.29","181","","","","","","","","","96495-000","","","","",""
"04402277000100","02284641000302","27390646000189","20210806","618033","N","70330729872","-0000001","00050.29","181","","","","","","","","","96495-000","","","","",""
"04402277000100","02284641000302","25405305000104","20210805","618220","N","70330729872","-0000001","00047.76","180","","","","","","","","","96310-000","","","","",""
"04402277000100","02284641000302","10361838000164","20210812","619222","N","70330717534","-0000001","00038.62","181","","","","","","","","","96470-000","","","","",""
"04402277000100","02284641000302","10361838000164","20210812","619222","N","70330729872","-0000001","00050.29","181","","","","","","","","","96470-000","","","","",""
"04402277000100","02284641000302","11006960000185","20210804","618468","N","70330631212","00000006","00145.72","167","","","","","","","","","96180-000","","","","",""
"04402277000100","02284641000302","92106103000159","20210804","618485","N","70330631212","00000012","00145.72","167","","","","","","","","","96770-000","","","","",""
"04402277000100","02284641000302","34993297000155","20210804","618317","N","70330631328","00000001","00028.04","184","","","","","","","","","96203-160","","","","",""
"04402277000100","02284641000302","12542995000100","20210802","618117","N","70330729872","00000001","00050.29","103","","","","","","","","","96040-330","","","","",""
"04402277000100","02284641000302","23696569000139","20210802","618119","N","70330727984","00000001","00038.62","103","","","","","","","","","96040-050","","","","",""
"04402277000100","02284641000302","27172434000125","20210803","618283","N","70330631328","00000001","00028.04","109","","","","","","","","","96083-094","","","","",""
"04402277000100","02284641000302","90303017000100","20210804","618334","N","70330631212","00000001","00145.72","184","","","","","","","","","96202-020","","","","",""
"04402277000100","02284641000302","34777124000108","20210803","618285","N","70330717534","00000001","00038.62","105","","","","","","","","","96087-190","","","","",""
"04402277000100","02284641000302","33814977000100","20210804","618336","N","70330717534","00000001","00038.62","184","","","","","","","","","96212-482","","","","",""
"04402277000100","02284641000302","37790114000192","20210806","618868","N","70330631212","00000004","00145.72","114","","","","","","","","","96225-000","","","","",""
